id,label,sentiment_label,sentiment_score,ml_sentiment,sentiment_category
2,0,negative,0.2,0,positive
3,0,negative,0.0,0,neutral
4,0,negative,0.9765625,0,strong positive
5,0,negative,0.0,0,neutral
6,0,negative,0.19999999999999998,0,positive
7,0,negative,0.0,0,neutral
9,0,negative,0.9765625,0,strong positive
10,0,negative,1.0,0,strong positive
13,0,negative,0.0,0,neutral
14,1,positive,0.0,1,neutral
15,1,positive,0.0,1,neutral
16,0,negative,0.0,0,neutral
17,0,negative,0.22727272727272727,0,positive
18,1,positive,0.0,1,neutral
19,0,negative,0.0,0,neutral
20,0,negative,0.0,0,neutral
21,0,negative,0.4,0,positive
23,0,negative,0.4,0,positive
24,1,positive,0.0,1,neutral
25,0,negative,0.0,0,neutral
26,0,negative,0.75,0,strong positive
27,0,negative,0.625,0,strong positive
28,0,negative,0.4,0,positive
29,0,negative,0.8,0,strong positive
30,0,negative,0.7,0,strong positive
31,0,negative,0.1875,0,positive
32,0,negative,0.0,0,neutral
33,0,negative,0.0,0,neutral
35,1,positive,-0.125,1,negative
36,0,negative,0.1,0,neutral
37,0,negative,0.0,0,neutral
38,0,negative,0.25,0,positive
39,0,negative,0.0,0,neutral
40,0,negative,0.22727272727272727,0,positive
41,0,negative,0.0,0,neutral
43,0,negative,0.03333333333333333,0,neutral
44,0,negative,0.0,0,neutral
45,0,negative,0.5,0,positive
46,0,negative,0.4136363636363637,0,positive
47,0,negative,0.9765625,0,strong positive
49,0,negative,0.0,0,neutral
50,0,negative,1.0,0,strong positive
51,0,negative,0.2,0,positive
52,0,negative,0.5,0,positive
53,0,negative,0.25,0,positive
54,0,negative,0.0,0,neutral
55,0,negative,0.47916666666666663,0,positive
56,0,negative,0.0,0,neutral
58,0,negative,0.8,0,strong positive
59,0,negative,0.0,0,neutral
60,0,negative,0.0,0,neutral
61,0,negative,0.5428571428571429,0,positive
62,0,negative,0.0,0,neutral
63,0,negative,0.2,0,positive
65,0,negative,0.0,0,neutral
66,0,negative,0.2857142857142857,0,positive
67,0,negative,0.0,0,neutral
68,0,negative,0.65,0,strong positive
70,0,negative,1.0,0,strong positive
71,0,negative,0.0,0,neutral
72,0,negative,0.3196022727272727,0,positive
73,0,negative,0.19999999999999998,0,positive
74,0,negative,0.09999999999999999,0,neutral
75,0,negative,0.55625,0,positive
76,0,negative,0.0,0,neutral
77,0,negative,0.0,0,neutral
78,1,positive,0.0,1,neutral
79,0,negative,0.0,0,neutral
80,0,negative,0.11666666666666667,0,positive
81,0,negative,0.0,0,neutral
82,0,negative,0.5,0,positive
83,1,positive,0.0,1,neutral
85,0,negative,0.625,0,strong positive
86,0,negative,0.0,0,neutral
87,0,negative,0.1,0,neutral
88,0,negative,0.16893939393939394,0,positive
89,0,negative,0.0,0,neutral
90,0,negative,0.13636363636363635,0,positive
91,0,negative,0.365,0,positive
92,0,negative,0.9,0,strong positive
93,0,negative,0.0,0,neutral
94,0,negative,0.4,0,positive
95,0,negative,1.0,0,strong positive
96,0,negative,0.0,0,neutral
97,0,negative,0.9765625,0,strong positive
98,0,negative,0.0,0,neutral
99,0,negative,0.0,0,neutral
100,0,negative,0.32499999999999996,0,positive
101,0,negative,-0.7142857142857143,0,strong negative
102,0,negative,0.0,0,neutral
103,0,negative,0.048828125,0,neutral
104,0,negative,0.22999999999999998,0,positive
105,0,negative,0.0,0,neutral
106,0,negative,0.4636363636363636,0,positive
107,0,negative,0.0,0,neutral
108,0,negative,0.0,0,neutral
109,0,negative,0.0,0,neutral
110,0,negative,0.0,0,neutral
111,0,negative,0.0,0,neutral
112,1,positive,-0.125,1,negative
113,0,negative,0.3,0,positive
114,0,negative,0.0,0,neutral
115,1,positive,-0.16666666666666666,1,negative
116,0,negative,0.0,0,neutral
117,0,negative,0.86328125,0,strong positive
118,0,negative,0.9765625,0,strong positive
119,0,negative,0.4,0,positive
120,0,negative,-0.09999999999999998,0,neutral
121,0,negative,0.0,0,neutral
124,0,negative,0.8,0,strong positive
125,0,negative,0.0,0,neutral
126,0,negative,0.0,0,neutral
127,0,negative,0.0,0,neutral
129,0,negative,0.3162878787878788,0,positive
130,0,negative,0.09999999999999999,0,neutral
131,0,negative,0.4,0,positive
132,1,positive,0.0,1,neutral
133,0,negative,0.0,0,neutral
134,0,negative,0.03333333333333333,0,neutral
136,0,negative,-0.04999999999999999,0,neutral
137,0,negative,0.0,0,neutral
138,0,negative,0.45,0,positive
139,0,negative,0.5333333333333333,0,positive
140,0,negative,0.45833333333333337,0,positive
141,0,negative,0.06818181818181818,0,neutral
142,0,negative,0.0,0,neutral
143,0,negative,0.0,0,neutral
145,0,negative,1.0,0,strong positive
146,0,negative,0.0,0,neutral
147,0,negative,0.0,0,neutral
149,0,negative,0.6900000000000001,0,strong positive
